source_id,r_lo,r_hi,n_points,hamiltonian_residual_mean,hamiltonian_residual_p95_abs,abs_weyl_mean,abs_weyl_p95_abs,ricci_trace_mean,ricci_trace_p95_abs,eigen_gap_mean,eigen_gap_p95_abs
B06,32.0,36.0,12577,5.117802988712149e-05,0.0002218148554675273,0.0007625402931140452,0.0028726732823997686,0.00032361681844719125,0.00130886265542358,0.32542567567905695,0.48205349445343015
B06,36.0,40.0,15268,5.7033663888335766e-05,0.00023179526178864748,0.0007239474881982211,0.002920634089969097,0.0004561681940399174,0.002273144805803895,0.32005373050790753,0.4824220582842827
B06,40.0,44.0,18053,4.853975516115798e-05,0.00021669273555744394,0.0006535184080409256,0.002830831985920667,0.0003753094861675578,0.0017804321600124228,0.30896188501502714,0.47811985015869135
B06,44.0,48.0,20837,3.897410972084001e-05,0.00016768181812949482,0.0005681888272998873,0.002443599607795478,0.00022720668784312602,0.0005133841419592538,0.29299357130125253,0.47536979913711547
B07,0.0,4.0,72,0.0003778983668275436,0.0005285306397126988,0.00038296007389564894,0.0006125463754869998,0.007590745226480067,0.009000766649842262,0.3864271586450438,0.4774555295705795
B07,4.0,8.0,555,8.456269497283298e-05,0.00023341142805293196,0.0010166942624392004,0.0012530056061223148,0.0033640418384173836,0.005975677864626049,0.4523428799869778,0.48989482820034025
B07,8.0,12.0,1521,6.846823923420867e-05,0.00016758630226831883,0.0009934553893510788,0.0012793764472007751,0.0003089694856551152,0.001256110961548984,0.42787962876637464,0.49097469449043274
B07,12.0,16.0,2898,1.657520274503953e-05,4.348995826148895e-05,0.0004964348115979001,0.0009152033948339523,2.0039494866673626e-06,4.348987677076367e-05,0.32226473336855,0.4793556317687035
B07,16.0,20.0,4843,1.3955593199955127e-05,4.9568488611839645e-05,0.00039831505418296855,0.0012627902789972712,1.569441788446483e-05,5.0190729598398074e-05,0.2938882505622546,0.4718772411346435
B07,20.0,24.0,7295,2.427976084000089e-05,0.00011796645703725514,0.0004653327431920897,0.002122279722243544,0.00012266939757329633,0.00015180775080807403,0.30214524991152486,0.4741788804531097
B07,24.0,28.0,9573,3.9393480775938355e-05,0.00016145688423421223,0.0005713462994903735,0.002572287572547793,0.00029347522666696684,0.0003112420614343131,0.310450301738245,0.48096824884414674
B07,28.0,32.0,11713,4.70077914277493e-05,0.00016309003403875975,0.0006318634445280337,0.0027355742175132034,0.00030019750695953266,0.0003673698229249561,0.32786648454579614,0.4827350914478302
B07,32.0,36.0,13356,4.2091325545861116e-05,0.00019611283642007038,0.0006571460853805186,0.0025537217734381557,0.00020082473044587477,0.000546557130292058,0.3309502811678149,0.4840385690331459
B07,36.0,40.0,14839,4.566273977772993e-05,0.00019161225791322037,0.0006686844461310882,0.002591108833439647,0.0003380926948150997,0.001391762308776374,0.3209128583837285,0.4817238062620162
B07,40.0,44.0,16535,5.160114171952662e-05,0.00020280980097595562,0.0006749683201306436,0.0026823590742424126,0.0004275830356872537,0.0021980604389682376,0.3043938149295555,0.47787726521492
B07,44.0,48.0,17306,4.9020750173729405e-05,0.0001866319107648451,0.000635461255473034,0.002591156109701842,0.0003351019791745881,0.0018860915151890367,0.3022312949066742,0.4735173359513283
B08,0.0,4.0,80,0.0011037136337108677,0.002179831045214086,0.0018080114505210076,0.002506164484657347,0.01448470379691571,0.019444928411394356,0.44687006920576094,0.4825511619448662
B08,4.0,8.0,554,0.0001819261995302837,0.0004094228002941236,0.003012564354357629,0.00326354312710464,0.0036181967419913435,0.009162003220990301,0.4654466552316927,0.4898027166724205
